[21:38:11] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[21:38:20] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:20] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:21] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:21] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:21] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:22] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:22] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:22] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:23] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:23] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:23] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:24] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:25] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:25] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:25] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'truck']
[21:38:25] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:26] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:26] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:26] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:26] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:27] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:27] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:27] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:27] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:28] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:28] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:38:28] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:28] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:38:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:29] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:30] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:30] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:30] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:30] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:31] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:31] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:31] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:31] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:32] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:32] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:33] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:33] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:39:33] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:33] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:34] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:34] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:34] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:34] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:34] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:35] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:35] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:35] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:35] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:39:36] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[21:40:28] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[21:40:29] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[21:40:30] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['person']
[21:41:02] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:02] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:02] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:03] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:03] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[21:41:04] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:04] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:04] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:05] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:05] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[21:41:05] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:05] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:06] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:06] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:06] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:07] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:07] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[21:41:07] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:08] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[21:41:08] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:08] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:08] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[21:41:09] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[21:41:09] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:09] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:10] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:10] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:10] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:10] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:11] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[21:41:11] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[21:41:11] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[21:41:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[21:41:12] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:12] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:13] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:13] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:13] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:13] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['truck', 'car']
[21:41:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['car', 'truck', 'person']
[21:41:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['car', 'truck']
[21:41:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[21:41:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[21:41:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'car', 'person']
[21:41:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['car', 'person']
[21:41:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=6 | OBJETS=['car', 'person']
[21:41:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=10 | OBJETS=['truck', 'person', 'car']
[21:41:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:18] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:18] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:18] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:18] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:19] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:19] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:19] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:20] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:20] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:20] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:21] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:21] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[21:41:21] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:22] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[21:41:22] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
